gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,Win,"[22, 76, 133, 111, 4]",21443,5043,37,7.4,256,56,0,13,10,17,42,4,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Fail,"[236, 84, 64, 89, 235]",18716,1281,36,7.2,248,44,1,10,13,10,21,4,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,Win,"[54, 432, 104, 61, 51]",19780,2250,35,7.0,253,52,0,9,13,14,46,5,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Fail,"[119, 3, 412, 5, 24]",21369,3254,37,7.4,262,63,1,13,9,18,50,7,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0
4666262683,Win,"[517, 40, 876, 24, 81]",18423,2903,37,7.4,261,76,1,6,6,1,16,2,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Fail,"[22, 120, 555, 38, 8]",18098,2513,37,7.4,253,59,0,6,6,6,17,5,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,Win,"[201, 76, 84, 22, 875]",18390,2745,41,8.2,280,82,1,4,1,4,31,6,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[55, 64, 44, 164, 429]",17107,4372,37,7.4,257,68,0,1,4,1,23,4,1,0,['TOP_LANE'],1,0,1,0,0,1,['FIRE_DRAGON'],1,1,0,0
4666144894,Win,"[58, 5, 517, 29, 497]",19006,1631,38,7.6,273,52,1,8,7,9,17,12,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,1,0,0,Fail,"[64, 69, 875, 202, 133]",19914,3364,37,7.4,297,56,0,7,8,13,29,6,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665412578,Fail,"[157, 84, 37, 360, 104]",17691,1911,40,8.0,220,56,0,8,9,2,17,3,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Win,"[81, 53, 74, 15, 56]",20077,4102,38,7.6,247,67,1,9,8,9,15,2,1,0,['BOT_LANE'],1,0,0,1,0,1,['EARTH_DRAGON'],1,0,0,0
4665086284,Win,"[517, 54, 555, 4, 111]",38778,5973,60,12.0,127,0,1,28,24,69,0,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0,Fail,"[113, 22, 122, 236, 53]",36608,2818,58,11.6,126,0,0,24,28,65,0,0,0,0,[],1,1,0,0,0,0,[],0,0,0,0
4664899276,Win,"[29, 497, 876, 114, 39]",20385,1885,38,7.6,299,76,0,6,5,6,17,13,1,0,['MID_LANE'],1,1,0,0,0,1,['FIRE_DRAGON'],1,1,0,0,Fail,"[40, 84, 119, 164, 28]",18233,2108,36,7.2,247,60,1,5,6,5,22,6,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664639258,Win,"[117, 164, 104, 7, 22]",21446,2076,40,8.0,253,57,1,13,5,13,23,4,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Fail,"[421, 69, 84, 236, 267]",17058,2643,36,7.2,257,46,0,5,13,1,18,2,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0
4664126988,Fail,"[104, 360, 3, 126, 235]",16891,3026,35,7.0,234,77,0,3,15,2,15,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[875, 119, 44, 20, 107]",24424,5524,39,7.8,258,45,1,15,3,21,18,2,1,0,['TOP_LANE'],2,0,1,1,0,1,['WATER_DRAGON'],1,1,0,0
4664071468,Fail,"[59, 117, 81, 164, 43]",19248,3158,37,7.4,255,52,1,9,8,8,15,6,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[114, 51, 76, 412, 236]",18461,3086,36,7.2,240,68,0,8,9,4,37,5,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0
4663925652,Fail,"[876, 126, 29, 13, 497]",17714,2449,37,7.4,253,58,0,6,12,8,18,7,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[39, 202, 104, 80, 38]",21389,2464,39,7.8,292,74,1,12,6,9,29,3,0,0,[],0,0,0,0,0,1,['AIR_DRAGON'],1,0,0,0
4662765213,Fail,"[245, 21, 24, 44, 517]",17124,2516,35,7.0,247,70,0,5,8,5,18,2,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0,Win,"[164, 58, 60, 875, 236]",19610,2530,38,7.6,279,45,1,8,5,6,14,3,0,0,[],0,0,0,0,0,0,[],0,1,0,0
4662570948,Win,"[60, 238, 115, 107, 80]",19615,2100,39,7.8,243,69,0,11,7,9,24,8,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Fail,"[120, 69, 22, 111, 236]",18969,2111,37,7.4,278,55,1,7,11,6,21,8,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4662462856,Fail,"[120, 3, 235, 875, 58]",20229,3400,39,7.8,257,58,1,10,5,18,20,3,0,0,[],0,0,0,0,0,0,[],0,1,0,0,Win,"[150, 497, 29, 876, 517]",18379,2869,36,7.2,272,61,0,5,10,10,17,3,0,0,[],0,0,0,0,0,1,['AIR_DRAGON'],1,0,0,0
4658198356,Win,"[110, 43, 55, 80, 37]",34976,7026,57,11.4,129,0,1,19,15,49,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[4, 31, 9, 235, 134]",33103,3013,56,11.2,122,0,0,15,19,38,0,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0
4658185836,Win,"[203, 16, 154, 246, 38]",36795,2660,60,12.0,116,0,0,31,22,83,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[67, 7, 268, 136, 98]",36537,5382,59,11.8,127,0,1,22,31,48,25,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0
4658108047,Fail,"[875, 99, 350, 245, 51]",15296,3221,34,6.8,184,44,0,5,13,5,15,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[54, 202, 99, 517, 59]",20509,3604,37,7.4,246,37,1,13,5,16,27,5,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658028049,Fail,"[23, 111, 98, 236, 85]",34269,2759,57,11.4,107,0,0,23,23,70,37,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[51, 103, 235, 58, 90]",37063,9378,59,11.8,129,0,1,23,23,59,0,0,1,1,['MID_LANE'],2,2,0,0,1,0,[],0,0,0,0
4658052759,Win,"[498, 202, 114, 90, 53]",34276,4591,56,11.2,120,0,1,19,19,57,21,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[36, 25, 164, 121, 40]",33949,7543,58,11.6,117,0,0,19,19,47,0,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
